,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,Nittou nitt gni 🤌🇸🇳😍,2023-02-01 15:02:37+00:00,0,Twitter for Android,RT @Noo_IDcard: La SNCF qui commence avec “la SETER filiale 100% SNCF” et après annonce l’entrée en capital de la SENTER (etat) minoritaire…
1,liO Train SNCF Occitanie,2023-02-01 15:02:01+00:00,0,RC Engage Digital EU,@tahitijib Je vous remercie pour votre signalement que je fais remonter aux équipes concernées. Pour l'application… https://t.co/mWD9yH8Ykc
2,RER D,2023-02-01 15:01:11+00:00,0,Hootsuite Inc.,@DugastSarr Je vous en prie. Merci et bonne soirée également.
3,BIGODOT,2023-02-01 15:01:11+00:00,0,Twitter for iPad,"@barzek @blaster972 @LCI @olivierveran L’état pas le patron, lui voudrait bien le laisser car cela lui coûte plus c… https://t.co/6a6So9JzZY"
4,Jan (beta male) ↙️↙️↙️,2023-02-01 15:01:05+00:00,0,Twitter for Android,"RT @TimStrutzi: @zarte13 @Jan__Sommer @Kalinsky_ SNCF. But DB probably still ran more trains on time, because they just run massively more…"
5,Daniel pilotte de la Barolliere 🌿❣️🇮🇹 🇮🇱 🇵🇱,2023-02-01 15:01:00+00:00,0,Twitter for Android,RT @xXGorkXx: J'attends les explications de la SNCF pour ce retard ... https://t.co/FbtuLnI30h
6,Hihan,2023-02-01 15:00:50+00:00,0,Twitter for Android,@LIGNEP_SNCF Mais en fait il y a toujours des distances de sécurité à respecter. Du coup je ne comprends pas votre… https://t.co/PRmCApj0xc
7,SNCF Connect,2023-02-01 15:00:25+00:00,0,Alcmeon Account Management,"@krkfred Bonjour, cette capture d'écran ne semble par provenir de l'application SNCF Connect mais de TGV Inoui, j'a… https://t.co/LlhUll70Ez"
8,Ligne R,2023-02-01 15:00:10+00:00,1,Twitter Web App,"👉Pourquoi un départ de Melun ? 

Car le train est prévu de sortir du technicentre de Bercy. On vient de nous annonc… https://t.co/tbxMCefmHw"
9,Ligne R,2023-02-01 15:00:10+00:00,0,Twitter Web App,"👉Prochain train pour les voyageurs au départ de Paris GDL entre Melun et Moret : 

- KUMO départ Paris GDL à 16h46,… https://t.co/GaC7X5tWgA"
10,Ligne R,2023-02-01 15:00:09+00:00,0,Twitter Web App,"❌#LigneR 

A l'attention des voyageurs du GAME vers Montargis (arrivée théorique à 17h56) au départ de Paris GDL à… https://t.co/TQpwQsoTdX"
11,Philippe du Neuf Trois 🔺✌️,2023-02-01 15:00:02+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
La FIDL (Fédération indépendante et démocratique lycéenne) appelle les lycéens à bloquer les lycées
https://t.co/FnF…"
12,Michel Ganguillin,2023-02-01 14:59:37+00:00,0,Twitter for Android,"@Clemence_Guette Après la SNCF privatisée de Clémentine, l'EDF (etablissement publique détenu à 84% par l'état... q… https://t.co/eKyHoYCcZO"
13,شهيد,2023-02-01 14:59:28+00:00,0,Twitter for iPhone,Qui taff à la RATP ou SNCF urgent
14,christine autrique,2023-02-01 14:59:11+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 ALERTE INFO
Retraites: Élisabeth Borne reconnaît que la réforme ""suscite des interrogations et des doutes""
https://t.co/KVkN5n…"
15,Bouriffée,2023-02-01 14:58:56+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
""Vous êtes seuls et nous sommes des millions"": une députée insoumise accuse le gouvernement de ""produire le chaos"" a…"
16,Lucas 🏆💙❤️,2023-02-01 14:58:47+00:00,0,Twitter for iPhone,@sask_RM @HectorMadrilene @LigActu @EduAguirre7 @elchiringuitotv Rappelle moi ça fait combien de temps que le train… https://t.co/qRz9eokQGi
17,🎈refie,2023-02-01 14:58:14+00:00,0,Twitter for iPhone,"RT @M__H2J: Si la SNCF a 100 000 haters, je suis parmi eux. Si la SNCF a 1 hater, c’est moi. Si le monde est avec la SNCF, alors je suis co…"
18,関山@浦賀☆2/25-26 海老ブリ☆3/11-12博多オフ☆3/25千葉オフ,2023-02-01 14:57:51+00:00,1,Twitter Web App,"@Estima_Inagi sncfは「在来線の」ガスタービン押し通しましたし。まぁ。

あと英国は産油国ですし。

HSTという出来る妹の存在は大きかったですねw"
19,Yves MARY YMCN,2023-02-01 14:57:30+00:00,0,Twitter for Android,Très bonne question? Mais la réponse est aisée🤣les français sont d?éternels assistés râleurs insatisfaits et jaloux… https://t.co/9FXvHTjxzQ
20,Philippe du Neuf Trois 🔺✌️,2023-02-01 14:57:28+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
""Vous êtes seuls et nous sommes des millions"": une députée insoumise accuse le gouvernement de ""produire le chaos"" a…"
21,Justine Venon,2023-02-01 14:57:23+00:00,0,Twitter for Android,"RT @BFMTV: 🔴 EN DIRECT
""Vous êtes seuls et nous sommes des millions"": une députée insoumise accuse le gouvernement de ""produire le chaos"" a…"
22,Laporte,2023-02-01 14:57:07+00:00,0,Twitter Web App,"@garandy31 Les ponts et Chaussées, la SNCF, emplois à se casser le dos, je pense qu'ils doivent avoir améliorés leu… https://t.co/RWoeFk3co6"
23,Sonia Guessab,2023-02-01 14:57:05+00:00,0,Twitter for iPhone,@RERC_SNCF Bonjour. A quelle heure svp est le dernier rerc qui part de BNF pour Chaville ce 1er février ?Merci bcp.
24,Pierre Schydlowski,2023-02-01 14:56:53+00:00,0,Twitter for Android,La SNCF obtient l’exploitation du TER de Dakar pendant trois ans https://t.co/YMmtZHzH2U via @VRTmag https://t.co/5PyaMdBnja
